week_year,closed_at,week,year
1/2022,0.0,1,2022
2/2022,0.0,2,2022
3/2022,8.0,3,2022
4/2022,30.0,4,2022
5/2022,21.0,5,2022
6/2022,0.0,6,2022
7/2022,0.0,7,2022
8/2022,0.0,8,2022
9/2022,43.0,9,2022
10/2022,0.0,10,2022
11/2022,0.0,11,2022
12/2022,61.0,12,2022
13/2022,27.0,13,2022
14/2022,0.0,14,2022
15/2022,0.0,15,2022
16/2022,0.0,16,2022
17/2022,0.0,17,2022
18/2022,0.0,18,2022
19/2022,244.0,19,2022
20/2022,122.0,20,2022
21/2022,0.0,21,2022
22/2022,0.0,22,2022
23/2022,0.0,23,2022
24/2022,0.0,24,2022
25/2022,61.0,25,2022
26/2022,0.0,26,2022
27/2022,0.0,27,2022
28/2022,222.0,28,2022
29/2022,88.0,29,2022
30/2022,284.0,30,2022
31/2022,88.0,31,2022
32/2022,0.0,32,2022
33/2022,64.0,33,2022
34/2022,36.0,34,2022
35/2022,0.0,35,2022
36/2022,0.0,36,2022
37/2022,0.0,37,2022
38/2022,0.0,38,2022
39/2022,0.0,39,2022
40/2022,0.0,40,2022
41/2022,132.0,41,2022
42/2022,0.0,42,2022
43/2022,132.0,43,2022
44/2022,0.0,44,2022
45/2022,0.0,45,2022
46/2022,22.0,46,2022
47/2022,0.0,47,2022
